Activity Number,ISIC Code,License Type,Activity Name,Description
AM-02822,4659942,Commercial,Wholesale of Blast Furnaces and Smelters Trading - Import & Export,"Reselling blast furnaces used for smelting iron ores to produce semi-finished products, such firms are allowed to carry out the installation, repair and maintenance services for the equipment they deal in"
AM-02824,4773949,Commercial,Wholesale of Testing and Commissioning Equipments and Apparatuses,"Selling of devices, equipment and accessories of the number and tools used in the inspection, testing, detection or inspection operations on civil engineering constructions, buildings, marine and industrial equipment, vehicles, means of transport of all kinds, and other purposes of examination and testing at sites other than devices and tools used inside laboratories and laboratories."
AM-02827,4772001,Commercial,Pharmacy,A licensed facility where certain prescribed medicines are prepared and dispensed by a pharmacist licensed under the law of the country.
AM-02828,4659308,Commercial,Wholesale of Marine Equipment and Machinery Trading - Import & Export,Trading of marine equipment and machinery
AM-02829,4773935,Commercial,Retai sale of General Stores Equipments and Installations,"Selling of specialized retail stores of equipment and fixtures that are used in public stores such as grocery stores, consumer complexes, libraries, shops and exhibitions, including shelves and cabinets for display, or for keeping foodstuffs, or shelves for storing goods and merchandise, reception platforms (counters), electronic promotional machines and others, as well as all their requirements from Tools such as goods transport vehicles, purchase registration equipment, cash preservation, insect repellents, etc. This branch is not entitled to import from abroad."
AM-02830,4659945,Commercial,Wholesale of Development Equipment and Outfit Trading - Import & Export,Trading of t Equipment and Outfit
AM-02832,4773608,Commercial,Retail sale of Measurement and Control Equipments and Devices,"Trading of equipment and devices that are used in measurement, whether to measure areas or quantities such as accurate balances or to measure distances, temperatures, humidity and altitude, or to monitor environmental and geographical dimensions and variables, and also includes the resale of equipment and devices used in controlling the quantities of flowing materials such as water, liquids, electric power, gases, etc., speeds, or in organizing movement at the production level, This includes water and electricity meters, taxi equipment, surveying and meteorological devices, as well as door and window control systems, among others."
AM-02833,4774001,Commercial,Retail Sale of Used Furniture,"Selling of second-hand furniture of any kind, any material for any place"
AM-02836,4774006,Commercial,Retail sale of Building Used Equipment and Machinery,"Selling of second-hand building and construction equipment and machinery for excavating, filling, demolition, earth leveling, road paving, cement mixing, as well as cranes, elevators and heavy objects lifts."
AM-02842,3312007,Services,"Repair and maintenance of Air-conditioners, Cooling Equipments And Central Air Refining",Repair and maintain regular air conditioning equipment and devices (window units) as well as separate units (split) and their maintenance.
AM-02843,3312006,Services,Repair and maintenance of Balances and Scales,Repair and maintenance operations for the equipment of scales and weights by using various techniques and protecting them from corrosion or interaction with the surrounding natural materials or to extend the life of their use or maintenance
AM-02844,9512001,Services,Telecommunication Equipments and Apparatuses Repairing,"Repair and maintenance equipment and devices related to wired communications, telephones, telex, telefax, etc., as well as related to wireless communications such as internal and external wireless devices."
AM-02846,9522003,Services,Cookers & Cook Stove Repair,"Repairing electric, gas, coal or kerosene burners, ovens and cookers."
AM-02847,4321002,Services,"Alarm Systems Installation, Fitting and Repair","Installing alarm systems for some facilities whose nature of work requires the presence of alarm devices such as jewelry stores, banks and banks, and this activity includes the installation and extension of cables for alarm lines, as well as the repair and maintenance of alarm systems."
AM-02848,4520028,Services,Auto Phones Installation & Repair,Installing and repairing mobile phones that are installed in various types of cars
AM-02850,3319901,Services,Light Machines and Machinery Repairing and Maintenance,"Repairing machines and light machines and conducting maintenance operations on them, whether on demand or according to the implementation of special contracts for maintenance."
AM-02852,3319902,Services,Heavy Machines and Machinery Repairing and Maintenance,"Repair, maintenance and operation of machinery and heavy equipment such as central kitchen appliances, automatic laundry and equipment, electric power generators and water pumping machines. etc., this also includes the operation of such equipment and the conduct of periodic maintenance."
AM-02854,3319903,Services,Marine Machines and Equipments Repairing and Maintenance,Maintenance and repair of all marine machinery and equipment operating all types of boats and marine boats.
AM-02855,5510001,Services,Hotel,"Providing accommodation services to visitors, including furnished accommodation in rooms and suites, housekeeping services, food and beverages, and may also contain additional facilities such as swimming pools, restaurants and entertainment venues."
AM-02856,4329902,Services,Central Air-conditioners Maintenance,Maintenance of central air conditioning devices for buildings and various facilities
AM-02858,9529005,Services,Antiquities and Precious Acquisitions Repairing,"Repair and maintenance of archaeological and valuables such as luxury furniture, antiques, artifacts, manuscripts, books"
AM-02859,5610001,Services,Restaurant,"Preparation and types of meals, including fast food. It also includes preparing types of drinks and presenting them for immediate consumption by the public and equipped with appropriate equipment to eat meals inside those stores."
AM-02860,9524002,Services,Curtains Cutting and Tailoring,"Cut and detail curtains, including taking measurements and choosing the type according to the desire of customers and all the work related to curtains until their installation."
